country,area_km2,overlap_ratio,total_cells,urban_cells,rural_cells,urban,rural,total,urban_population_mean,rural_population_mean,urban_share,rural_share,urban_density_stats,rural_density_stats
Central African Republic,624289.4431239176,100.00000000000017,624286,1031,46621,3582866.208787654,2534286.434788991,6117152.643576645,3475.136962936619,54.35933237787673,0.5857081582801216,0.4142918417198784,"{'min': 36.71572229266167, 'max': 47832.19911193848, 'std': 5542.123423717943}","{'min': 0.0016660928959026933, 'max': 4467.872906802222, 'std': 194.89441090758692}"
Burkina Faso,275079.66343545244,100.00000000000003,275095,5901,194414,12421768.60099938,11982243.117218804,24404011.718218185,2105.0277242839147,61.63261450933988,0.5090051891642975,0.49099481083570246,"{'min': 1.9191753584891558, 'max': 22096.689067840576, 'std': 3010.3899249508772}","{'min': 0.004694526549428701, 'max': 4667.812033593655, 'std': 146.12051908034337}"
Ghana,240311.944287062,99.99999999999993,240273,8444,139588,27172502.00421615,8129006.2352235615,35301508.23943971,3217.96565658647,58.23570962563803,0.7697263759925805,0.2302736240074195,"{'min': 0.03481518104672432, 'max': 37381.48717498779, 'std': 4530.768140560197}","{'min': 0.0036468547768890858, 'max': 4417.862196356058, 'std': 194.79847520958046}"
Réunion,2511.8831334268766,100.00000000000003,2513,481,1074,862371.9630148564,103374.43395619094,965746.3969710474,1792.8731039809904,96.2518007040884,0.8929590270484954,0.10704097295150464,"{'min': 0.025179697200655937, 'max': 8804.33103132248, 'std': 1459.4419380697277}","{'min': 0.004000891465693712, 'max': 2650.1143053770065, 'std': 212.7994573266253}"
Benin,116363.65699195587,99.99999999999997,116370,4463,77226,10451825.787256524,3987508.166799297,14439333.954055822,2341.883438775829,51.634270411510336,0.7238440374405734,0.27615596255942665,"{'min': 0.006490541622042656, 'max': 31208.91645050049, 'std': 3116.3693511975725}","{'min': 0.00714156636968255, 'max': 4951.547937884927, 'std': 161.91778270886437}"
Senegal,198306.13022659614,99.99999999999991,198358,3460,82370,12798985.123350408,5599807.956070368,18398793.079420775,3699.1286483671697,67.98358572381169,0.6956426472161478,0.30435735278385223,"{'min': 1.1355026960372925, 'max': 49248.06137084961, 'std': 5750.699315137898}","{'min': 0.011079351417720318, 'max': 4813.040969420224, 'std': 193.4715032059853}"
Namibia,828074.8506524418,99.99999999999997,827938,508,96191,1146530.2943193354,1531276.2745726593,2677806.5688919947,2256.949398266408,15.9191221067736,0.4281602366797312,0.5718397633202688,"{'min': 1.4961820189200807, 'max': 19887.569458007812, 'std': 2994.463849922823}","{'min': 1.5345050996984355e-05, 'max': 2801.80613213405, 'std': 47.95485736887595}"
Botswana,580943.329454624,99.99999999999977,580950,1338,77556,1943829.846742056,818204.9242135524,2762034.770955608,1452.7876283572916,10.54985976860014,0.7037673338447982,0.29623266615520194,"{'min': 73.62472531478852, 'max': 11850.914882421494, 'std': 1352.012436549597}","{'min': 1.8095561244990677e-05, 'max': 2058.082159668207, 'std': 58.2416694180911}"
Swaziland,17345.05488783051,100.00000000000004,17329,263,12302,290071.3453458173,946533.383597414,1236604.7289432313,1102.932872037328,76.9414228253466,0.234570787703282,0.765429212296718,"{'min': 300.13904900848866, 'max': 4526.080998310819, 'std': 1000.3992293404666}","{'min': 0.005471987184137106, 'max': 1707.069069716148, 'std': 93.80895045455976}"
Mayotte,371.7231966268447,100.0,368,103,144,274007.62640278414,18161.68129748758,292169.3077002717,2660.2682175027585,126.12278678810819,0.9378385038440823,0.06216149615591771,"{'min': 48.19967653974891, 'max': 15958.405707865953, 'std': 3015.883482984227}","{'min': 0.041648268699645996, 'max': 2936.0317260101438, 'std': 401.1201590522604}"
